"trading_date","trades","net_pnl_usd","profit_factor","win_rate"
"2019-05-06","1","108",,"1"
"2019-05-09","1","51",,"1"
"2019-05-10","1","49.75",,"1"
"2019-05-14","1","64.25",,"1"
"2019-05-15","1","148",,"1"
"2019-05-17","1","-108.5","0","0"
"2019-05-20","1","-62.5","0","0"
"2019-05-22","2","-117.5","0","0"
"2019-05-29","1","-71","0","0"
"2019-05-31","1","-79.5","0","0"
"2019-06-06","1","70.5",,"1"
"2019-06-07","1","108.5",,"1"
"2019-06-17","1","-42.5","0","0"
"2019-06-18","1","-87.5","0","0"
"2019-06-19","1","18",,"1"
"2019-07-05","1","59.75",,"1"
"2019-07-09","1","83",,"1"
"2019-07-18","2","-45","0.4375","0.5"
"2019-07-23","1","12.5",,"1"
"2019-07-24","1","85.5",,"1"
"2019-07-26","1","-15.5","0","0"
"2019-07-30","1","-10.5","0","0"
"2019-08-19","1","-36.5","0","0"
"2019-08-20","1","-86.5","0","0"
"2019-09-05","1","31.5",,"1"
"2019-09-06","1","-44","0","0"
"2019-09-10","1","35",,"1"
"2019-09-12","1","-75.5","0","0"
"2019-09-13","1","-72","0","0"
"2019-09-17","1","40.5",,"1"
"2019-10-07","1","10.5",,"1"
"2019-10-08","1","-107","0","0"
"2019-10-09","1","4.5",,"1"
"2019-10-11","2","-158.5","0","0"
"2019-10-14","1","-26","0","0"
"2019-10-15","1","93.25",,"1"
"2019-10-23","1","15.5",,"1"
"2019-10-24","1","20",,"1"
"2019-10-25","1","105.25",,"1"
"2019-11-01","2","-33.5","0.4846","0.5"
"2019-11-08","1","53",,"1"
"2019-11-18","1","35",,"1"
"2019-11-25","1","44.5",,"1"
"2019-12-10","1","-27","0","0"
"2019-12-12","1","-1","0","0"
"2020-01-08","1","80.25",,"1"
"2020-01-15","1","-75","0","0"
"2020-01-17","1","3",,"1"
"2020-01-22","1","-67.5","0","0"
"2020-01-23","1","49.5",,"1"
"2020-02-10","1","146",,"1"
"2020-02-13","1","20.5",,"1"
"2020-02-18","1","23.5",,"1"
"2020-02-19","1","18.5",,"1"
"2020-02-20","1","-69.5","0","0"
"2020-04-01","1","-149","0","0"
"2020-04-06","1","319.75",,"1"
"2020-04-08","1","111.5",,"1"
"2020-04-13","1","153.5",,"1"
"2020-04-14","1","174",,"1"
"2020-04-15","1","94",,"1"
"2020-04-16","2","100.5","51.25","0.5"
"2020-04-20","1","-2","0","0"
"2020-04-23","1","-168.5","0","0"
"2020-04-24","1","186.75",,"1"
"2020-04-27","1","-100","0","0"
"2020-05-01","1","-129.5","0","0"
"2020-05-04","1","166",,"1"
"2020-05-05","1","-129","0","0"
"2020-05-06","1","-125","0","0"
"2020-05-07","1","-36","0","0"
"2020-05-08","1","78.5",,"1"
"2020-05-11","1","137.75",,"1"
"2020-05-13","1","-201.5","0","0"
"2020-05-15","1","201",,"1"
"2020-05-18","1","82",,"1"
"2020-05-19","1","-135.5","0","0"
"2020-05-20","1","34",,"1"
"2020-05-22","1","11",,"1"
